2024-09-09 20:15:43.064 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-09 20:15:43.075 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-09 20:15:43.075 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 121 ms
2024-09-09 20:15:43.113 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-09 20:15:43.119 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-09 20:15:43.122 INFO  [restartedMain] org.example.logging.Application : Started Application in 0.191 seconds (process running for 561.086)
2024-09-09 20:15:43.123 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2024-09-09 20:17:01.555 INFO  [restartedMain] org.example.logging.Application : Starting Application using Java 17.0.11 with PID 11088 (E:\SpringProject\spring\spring-boot-practice\spring-boot-logging\target\classes started by 86184 in E:\SpringProject\spring\spring-boot-practice)
2024-09-09 20:17:01.557 INFO  [restartedMain] org.example.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-09 20:17:01.585 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-09 20:17:01.586 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-09 20:17:02.145 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-09 20:17:02.154 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-09 20:17:02.154 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-09 20:17:02.185 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-09 20:17:02.186 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 600 ms
2024-09-09 20:17:02.376 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-09 20:17:02.401 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-09 20:17:02.407 INFO  [restartedMain] org.example.logging.Application : Started Application in 1.162 seconds (process running for 1.609)
2024-09-09 20:17:06.340 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-09 20:17:06.341 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-09 20:17:06.341 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 0 ms
2024-09-09 20:17:06.359 INFO  [http-nio-8080-exec-1] org.example.logging.controller.LogController : This is a INFO log
2024-09-09 20:17:06.359 WARN  [http-nio-8080-exec-1] org.example.logging.controller.LogController : This is a WARN log
